date,transaction_reference,age,account,old_balance,new_balance,amount,type,message
2058-07-31,1000002246,84,ma,917275.8,919575.72,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2058-07-31,1000002247,84,ra,42161.34,42380.38,219.04,inflow,ra-Allocation for ra at age 84-219.04
2058-07-31,1000002248,84,ra,42380.38,41450.38,-930.0,outflow,ra-CPF payout at age 84--930.00
2058-07-31,1000002249,84,excess,367751.29,368681.29,930.0,inflow,excess-CPF payout at age 84-930.00
2058-08-31,1000002251,84,oa,76653.75,76872.79,219.04,inflow,oa-Allocation for oa at age 84-219.04
2058-08-31,1000002252,84,ma,919575.72,921875.64,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2058-08-31,1000002253,84,ra,41450.38,41669.42,219.04,inflow,ra-Allocation for ra at age 84-219.04
2058-08-31,1000002254,84,ra,41669.42,40739.42,-930.0,outflow,ra-CPF payout at age 84--930.00
2058-08-31,1000002255,84,excess,368681.29,369611.29,930.0,inflow,excess-CPF payout at age 84-930.00
2058-09-30,1000002257,84,oa,76872.79,77091.83,219.04,inflow,oa-Allocation for oa at age 84-219.04
2058-09-30,1000002258,84,ma,921875.64,924175.56,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2058-09-30,1000002259,84,ra,40739.42,40958.46,219.04,inflow,ra-Allocation for ra at age 84-219.04
2058-09-30,1000002260,84,ra,40958.46,40028.46,-930.0,outflow,ra-CPF payout at age 84--930.00
2058-09-30,1000002261,84,excess,369611.29,370541.29,930.0,inflow,excess-CPF payout at age 84-930.00
2058-10-31,1000002263,84,oa,77091.83,77310.87,219.04,inflow,oa-Allocation for oa at age 84-219.04
2058-10-31,1000002264,84,ma,924175.56,926475.48,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2058-10-31,1000002265,84,ra,40028.46,40247.5,219.04,inflow,ra-Allocation for ra at age 84-219.04
2058-10-31,1000002266,84,ra,40247.5,39317.5,-930.0,outflow,ra-CPF payout at age 84--930.00
2058-10-31,1000002267,84,excess,370541.29,371471.29,930.0,inflow,excess-CPF payout at age 84-930.00
2058-11-30,1000002269,84,oa,77310.87,77529.91,219.04,inflow,oa-Allocation for oa at age 84-219.04
2058-11-30,1000002270,84,ma,926475.48,928775.4,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2058-11-30,1000002271,84,ra,39317.5,39536.54,219.04,inflow,ra-Allocation for ra at age 84-219.04
2058-11-30,1000002272,84,ra,39536.54,38606.54,-930.0,outflow,ra-CPF payout at age 84--930.00
2058-11-30,1000002273,84,excess,371471.29,372401.29,930.0,inflow,excess-CPF payout at age 84-930.00
2058-12-31,1000002275,84,oa,77529.91,77748.95,219.04,inflow,oa-Allocation for oa at age 84-219.04
2058-12-31,1000002276,84,ma,928775.4,931075.32,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2058-12-31,1000002277,84,ra,38606.54,38825.58,219.04,inflow,ra-Allocation for ra at age 84-219.04
2058-12-31,1000002278,84,oa,77748.95,78008.11,259.16,inflow,oa-Interest for ra at age 84-259.16
2058-12-31,1000002279,84,ma,931075.32,934178.9,3103.58,inflow,ma-Interest for ra at age 84-3103.58
2058-12-31,1000002280,84,ra,38825.58,38955.0,129.42,inflow,ra-Interest for ra at age 84-129.42
2058-12-31,1000002281,84,ra,38955.0,39005.0,50.0,inflow,ra-Extra Interest for ra at age 84-50.00
2058-12-31,1000002282,84,ra,39005.0,38075.0,-930.0,outflow,ra-CPF payout at age 84--930.00
2058-12-31,1000002283,84,excess,372401.29,373331.29,930.0,inflow,excess-CPF payout at age 84-930.00
2059-01-31,1000002285,84,oa,78008.11,78227.15,219.04,inflow,oa-Allocation for oa at age 84-219.04
2059-01-31,1000002286,84,ma,934178.9,936478.82,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2059-01-31,1000002287,84,ra,38075.0,38294.04,219.04,inflow,ra-Allocation for ra at age 84-219.04
2059-01-31,1000002288,84,ra,38294.04,37364.04,-930.0,outflow,ra-CPF payout at age 84--930.00
2059-01-31,1000002289,84,excess,373331.29,374261.29,930.0,inflow,excess-CPF payout at age 84-930.00
2059-02-28,1000002291,84,oa,78227.15,78446.19,219.04,inflow,oa-Allocation for oa at age 84-219.04
2059-02-28,1000002292,84,ma,936478.82,938778.74,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2059-02-28,1000002293,84,ra,37364.04,37583.08,219.04,inflow,ra-Allocation for ra at age 84-219.04
2059-02-28,1000002294,84,ra,37583.08,36653.08,-930.0,outflow,ra-CPF payout at age 84--930.00
2059-02-28,1000002295,84,excess,374261.29,375191.29,930.0,inflow,excess-CPF payout at age 84-930.00
2059-03-31,1000002297,84,oa,78446.19,78665.23,219.04,inflow,oa-Allocation for oa at age 84-219.04
2059-03-31,1000002298,84,ma,938778.74,941078.66,2299.92,inflow,ma-Allocation for ma at age 84-2299.92
2059-03-31,1000002299,84,ra,36653.08,36872.12,219.04,inflow,ra-Allocation for ra at age 84-219.04
2059-03-31,1000002300,84,ra,36872.12,35942.12,-930.0,outflow,ra-CPF payout at age 84--930.00
